Ano 1º Sintoma(s),Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
2014,32665,49227,84071,148823,113386,44886,23141,16148,18659,19635,19467,21406
2015,86353,185554,398717,405067,265888,98612,40588,26569,22365,26567,54054,98765
2016,229409,384819,391511,281887,104646,32848,16884,11125,8294,9183,12235,15024
2017,26976,29783,39790,40580,34307,20071,10152,8035,6893,7746,8122,9410
2018,19907,24052,38438,46429,38131,20838,13227,10121,7749,10036,14866,25481
2019,69606,125857,230291,366943,402824,162171,60478,30914,21804,20066,25404,37146
2020,117878,210779,211913,159181,105547,51802,29271,14876,10622,9007,11242,12384
2021,27516,51023,80363,110164,82945,48795,29416,18434,13637,11778,19144,38720
2022,54423,81945,249325,397707,312728,114705,56292,33061,21626,20196,24535,27451
2023,69834,138999,330278,422439,297922,102852,9827,-,-,-,-,-
