"Ano notificação""",Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
2013,-,-,-,-,-,-,-,-,-,-,-,1110,1110
2014,29645,48408,72645,145026,120620,52049,26976,16575,19050,20363,18730,21041,591128
2015,69270,167112,385848,399392,288181,118937,49058,29204,24038,25616,47713,93432,1697801
2016,204260,363450,407140,290731,128642,44245,20924,13763,9325,9484,12006,14888,1518858
2017,24770,29569,39806,39295,35797,22414,11093,8723,6864,7966,8046,8993,243336
2018,18390,22612,34436,45985,41183,22929,14298,11278,7753,10196,14206,23120,266386
2019,62128,121342,203361,358105,414617,176172,75240,36764,24969,22529,25004,36357,1556588
2020,105353,191951,212890,168559,113699,63200,34443,16252,11533,9379,10741,14509,952509
2021,21698,46286,78931,107772,85353,52602,32478,20439,14558,11870,17398,42426,531811
2022,42894,73131,229742,377629,338315,129621,63128,40177,24723,20648,23940,30584,1394532
2023,58528,128064,312022,413559,325911,117732,16335,-,-,-,-,-,1372151
Total,636936,1191925,1976821,2346053,1892318,799901,343973,193175,142813,138051,177784,286460,10126210
