"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-06",101.0431,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-07",101.1206,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-08",101.177,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-09",101.2266,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-10",101.2778,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-11",101.3312,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1999-12",101.3688,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-01",101.3642,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-02",101.3006,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-03",101.2057,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-04",101.0884,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-05",100.9432,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-06",100.7791,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-07",100.5968,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-08",100.3819,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-09",100.1312,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-10",99.82796,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-11",99.48232,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2000-12",99.10956,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-01",98.76899,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-02",98.50741,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-03",98.33782,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-04",98.25189,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-05",98.22443,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-06",98.20039,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-07",98.15498,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-08",98.09113,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-09",98.04958,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-10",98.10048,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-11",98.26979,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2001-12",98.53629,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-01",98.84505,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-02",99.13784,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-03",99.35823,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-04",99.45026,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-05",99.39401,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-06",99.19807,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-07",98.91523,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-08",98.61288,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-09",98.33202,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-10",98.11066,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-11",97.96423,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2002-12",97.86587,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-01",97.79422,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-02",97.76022,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-03",97.79614,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-04",97.92918,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-05",98.15343,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-06",98.44179,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-07",98.77978,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-08",99.15644,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-09",99.55997,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-10",99.9688,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-11",100.3495,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2003-12",100.6686,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-01",100.9089,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-02",101.0527,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-03",101.1195,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-04",101.1215,
