Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;null;null;null;
2006-12-31;null;23.019337;2.878596;
2007-01-31;132.6;22.177151;2.751747;
2007-02-28;null;null;null;
2007-03-31;195.2;22.145882;2.333727;
2007-04-30;57.2;19.619734;2.633144;
2007-05-31;175.8;12.650006;2.701759;
2007-06-30;57.2;14.314305;3.003372;
2007-07-31;250;11.181311;2.834426;
2007-08-31;123.6;12.931966;3.558193;
2007-09-30;266.4;17.820833;3.187639;
2007-10-31;122.2;18.606095;3.252513;
2007-11-30;null;18.362167;2.706923;
2007-12-31;198.6;21.02957;2.795565;
2008-01-31;46.6;21.355645;3.075;
2008-02-29;76;21.142385;2.852443;
2008-03-31;90;20.58293;2.706586;
2008-04-30;86.4;17.343472;2.388889;
2008-05-31;163;14.111836;2.716667;
2008-06-30;157.6;11.469698;2.57625;
2008-07-31;75.4;14.945699;2.745968;
2008-08-31;190.2;14.215188;2.911694;
2008-09-30;144;13.325;3.329583;
2008-10-31;300.2;16.792876;2.935618;
2008-11-30;71;19.217723;3.278152;
2008-12-31;82.4;20.348253;2.776344;
2009-01-31;254.4;20.465616;2.792473;
2009-02-28;141;21.674702;2.605804;
2009-03-31;85.2;20.994892;2.502285;
2009-04-30;24.4;18.413889;2.382639;
2009-05-31;127;15.55336;2.597177;
2009-06-30;81.8;11.174722;2.561944;
2009-07-31;null;null;null;
2009-08-31;null;16.851389;null;
2009-09-30;null;15.229065;3.162739;
2009-10-31;137;16.881178;2.812931;
2009-11-30;337.2;21.457917;2.931111;
2009-12-31;216.6;21.268683;2.650538;
2010-01-31;278.4;21.875684;2.54361;
2010-02-28;161.4;23.01131;2.755357;
2010-03-31;58.4;20.67043;2.181183;
2010-04-30;136.4;17.593889;2.437778;
2010-05-31;158.6;14.281855;2.247581;
2010-06-30;128.2;13.099445;2.814444;
2010-07-31;205.6;12.994758;3.236694;
2010-08-31;50.6;13.31093;3.189952;
2010-09-30;225.4;15.525543;3.125503;
2010-10-31;50.8;16.018496;2.424518;
2010-11-30;88.4;18.369861;2.526806;
2010-12-31;89.6;20.860484;2.816532;
2011-01-31;164.8;22.806183;2.386962;
2011-02-28;221.6;21.582738;2.376339;
2011-03-31;264.6;20.041288;2.909673;
2011-04-30;147.8;17.805417;2.266667;
2011-05-31;70;14.311425;2.502554;
2011-06-30;178.6;11.553472;2.669028;
2011-07-31;324.2;12.063575;2.591667;
2011-08-31;null;13.32484;3.307484;
2011-09-30;57.8;15.011806;3.117083;
2011-10-31;100.2;17.53078;2.842473;
2011-11-30;17.4;19.420278;2.935556;
2011-12-31;69;20.025403;2.82957;
2012-01-31;64.4;21.662366;2.918683;
2012-02-29;173.2;23.273994;2.608764;
2012-03-31;85.6;20.45121;2.559946;
2012-04-30;74.2;17.316111;2.304583;
2012-05-31;25.2;16.20336;2.51828;
2012-06-30;53.6;13.137778;2.342917;
2012-07-31;181.8;11.725134;2.691129;
2012-08-31;66.4;17.277322;3.601662;
2012-09-30;220;15.970278;3.396111;
2012-10-31;155.4;18.831048;3.150134;
2012-11-30;26;20.540139;3.048889;
2012-12-31;217.2;22.856452;2.802554;
2013-01-31;104.4;20.862769;2.81129;
2013-02-28;105.8;21.247173;2.54747;
2013-03-31;186.4;18.377011;2.639667;
2013-04-30;106.8;17.689167;2.413056;
2013-05-31;127.6;14.698253;2.413575;
2013-06-30;141.6;13.097765;2.470669;
2013-07-31;96.4;12.068619;2.629506;
2013-08-31;303.8;11.989247;3.039785;
2013-09-30;182.8;15.452778;2.88;
2013-10-31;121.6;16.933737;2.86371;
2013-11-30;242.8;19.954028;3.446667;
2013-12-31;133.6;22.225807;2.716263;
2014-01-31;78.2;23.465323;2.66586;
2014-02-28;206.2;23.003274;2.786161;
2014-03-31;187.2;20.053629;2.58172;
2014-04-30;127.8;18.082639;2.870278;
2014-05-31;145.6;14.384274;2.402419;
2014-06-30;242.8;13.19892;3.009273;
2014-07-31;135.6;13.567639;3.185556;
2014-08-31;113.6;14.929973;2.988575;
2014-09-30;206.2;16.699444;3.282222;
2014-10-31;174;18.935016;3.257504;
2014-11-30;114.2;20.416944;2.862083;
2014-12-31;292.4;21.341263;2.910484;
2015-01-31;137;22.312675;2.636325;
2015-02-28;130.4;21.564435;2.567113;
2015-03-31;55.6;20.865188;2.579032;
2015-04-30;136.6;18.251111;2.379722;
2015-05-31;115;15.694624;2.811962;
2015-06-30;203;13.589198;2.829379;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;null;null;null;
2015-10-31;null;17.119744;2.892997;
2015-11-30;144.8;18.57277;2.908922;
2015-12-31;168.4;21.16535;2.811622;
2016-01-31;null;22.837759;2.847523;
2016-02-29;null;22.717803;2.552401;
2016-03-31;243.4;19.558822;2.793353;
2016-04-30;259.6;19.898979;2.773188;
2016-05-31;60;12.543194;2.325555;
2016-06-30;6.8;9.915202;2.106745;
2016-07-31;192.4;12.755511;2.986638;
2016-08-31;110.2;14.545982;2.854169;
2016-09-30;85;14.215972;2.875694;
2016-10-31;367;17.082688;3.353501;
2016-11-30;104.4;18.58006;2.806359;
2016-12-31;78.8;21.603115;2.851782;
2017-01-31;137.6;22.229301;2.681452;
2017-02-28;null;22.925934;2.630705;
2017-03-31;250;20.265188;2.844624;
2017-04-30;157.2;17.374028;2.947222;
2017-05-31;310.4;15.980034;3.029517;
2017-06-30;154.6;13.886638;3.045361;
2017-07-31;29.2;14.514113;3.269861;
2017-08-31;114;15.483502;3.276584;
2017-09-30;null;18.961001;2.956776;
2017-10-31;184.2;17.656879;3.159824;
2017-11-30;162.4;18.120859;2.895228;
2017-12-31;95.4;21.711944;2.838696;
2018-01-31;146.6;21.408333;2.800941;
2018-02-28;85;20.982939;2.755855;
2018-03-31;82.4;20.421322;2.384714;
2018-04-30;82.2;20.268883;2.493829;
2018-05-31;118.6;15.53452;2.67493;
2018-06-30;179.4;11.685347;2.378289;
2018-07-31;163;13.107661;2.946237;
2018-08-31;177;12.017473;2.891801;
2018-09-30;221.4;16.986323;3.021832;
2018-10-31;221;17.215726;3.085349;
2018-11-30;186.2;20.099722;3.019028;
2018-12-31;139.6;21.171909;2.637635;
2019-01-31;131.4;23.54328;2.816667;
2019-02-28;72.8;21.141395;2.603914;
2019-03-31;82.6;19.793414;2.621237;
2019-04-30;161;18.894306;2.260139;
2019-05-31;null;null;null;
2019-06-30;35.8;16.201528;3.069397;
2019-07-31;77.4;12.226747;2.791667;
2019-08-31;90.8;13.508496;3.167161;
2019-09-30;79;15.358056;2.969861;
2019-10-31;258.4;18.459409;3.044355;
2019-11-30;157.6;19.880694;2.851358;
2019-12-31;33.4;22.326479;2.897849;
2020-01-31;148.8;22.137769;2.746237;
2020-02-29;68.4;21.530316;2.914368;
2020-03-31;33;22.124495;2.881501;
2020-04-30;null;18.504186;2.851078;
2020-05-31;134.6;14.771371;2.793952;
2020-06-30;198.2;14.768611;3.383194;
2020-07-31;360.6;11.337695;3.020204;
2020-08-31;111.8;14.749597;2.819086;
2020-09-30;134.4;16.161806;2.79125;
2020-10-31;50;18.105511;2.930779;
2020-11-30;39;19.270555;2.867361;
2020-12-31;125;21.064113;2.906855;
2021-01-31;180.8;21.920968;2.907661;
2021-02-28;109.8;20.939286;2.510565;
2021-03-31;148.6;20.495564;2.227554;
2021-04-30;6.8;18.336528;2.667361;
2021-05-31;198;13.120565;2.611783;
2021-06-30;167.2;12.05125;2.748302;
2021-07-31;35.4;12.152016;2.908468;
2021-08-31;117.2;15.214919;3.007527;
2021-09-30;157.4;16.402639;2.796558;
2021-10-31;105.8;17.207527;2.950403;
2021-11-30;40.2;19.634287;2.864487;
2021-12-31;31.2;21.525269;2.881183;
2022-01-31;81.6;23.928086;3.149135;
2022-02-28;100.2;22.41525;2.605286;
2022-03-31;177.8;19.909584;2.697259;
2022-04-30;154;17.341806;2.7;
2022-05-31;295;12.828898;2.53871;
2022-06-30;203;11.028929;2.502926;
2022-07-31;147.8;15.747212;3.231358;
2022-08-31;105.4;13.279794;2.965885;
2022-09-30;55.6;13.931111;3.014306;
2022-10-31;98;16.391339;2.740241;
2022-11-30;78.2;18.205352;2.943313;
2022-12-31;137.6;21.614072;2.719548;

